address,owner,phone,damage_prob,storm_tag,intensity,strike_date,dispatch_status
"122 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536324,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"123 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536325,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"124 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536326,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"125 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536327,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"126 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536328,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"127 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536329,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"128 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536330,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"129 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536331,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"130 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536332,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"131 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536333,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"132 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536334,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"133 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536335,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"134 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536336,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"135 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536337,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"136 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536338,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"137 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536339,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"138 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536340,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"139 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536341,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"140 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536342,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"141 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536343,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"142 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536344,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"143 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536345,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"144 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536346,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"145 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536347,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"146 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536348,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"147 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536349,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"148 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536350,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"149 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536351,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"150 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536352,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"151 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536353,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"152 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536354,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"153 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536355,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"154 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536356,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"155 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536357,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"156 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536358,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"157 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536359,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"158 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536360,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"159 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536361,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"160 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536362,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"161 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536363,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"162 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536364,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"163 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536365,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"164 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536366,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"165 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536367,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"166 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536368,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"167 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536369,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"168 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536370,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"169 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536371,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"170 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536372,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"171 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536373,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"172 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536374,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"173 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536375,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"174 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536376,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"175 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536377,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"176 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536378,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"177 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536379,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"178 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536380,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"179 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536381,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"180 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536382,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"181 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536383,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"182 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536384,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"183 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536385,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"184 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536386,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"185 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536387,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"186 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536388,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"187 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536389,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"188 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536390,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"189 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536391,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"190 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536392,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"191 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536393,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"192 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536394,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"193 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536395,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"194 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536396,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"195 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536397,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"196 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536398,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"197 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536399,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"198 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536400,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"199 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536401,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"200 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536402,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"201 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536403,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"202 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536404,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"203 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536405,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"204 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536406,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"205 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536407,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"206 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536408,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"207 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536409,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"208 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536410,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"209 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536411,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"210 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536412,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"211 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536413,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"212 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536414,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"213 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536415,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"214 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536416,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"215 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536417,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"216 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536418,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"217 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536419,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"218 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536420,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"219 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536421,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"220 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536422,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"221 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536423,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"222 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536424,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"223 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536425,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"224 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536426,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"225 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536427,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"226 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536428,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"227 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536429,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"228 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536430,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"229 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536431,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"230 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536432,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"231 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536433,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"232 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536434,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"233 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536435,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"234 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536436,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"235 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536437,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"236 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536438,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"237 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536439,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"238 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536440,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"239 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536441,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"240 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536442,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"241 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536443,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"242 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536444,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"243 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536445,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"244 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536446,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"245 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536447,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"246 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536448,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"247 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536449,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"248 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536450,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"249 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536451,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"250 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536452,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"251 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536453,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"252 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536454,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"253 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536455,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"254 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536456,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"255 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536457,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"256 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536458,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"257 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536459,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"258 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536460,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"259 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536461,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"260 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536462,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"261 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536463,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"262 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536464,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"263 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536465,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"264 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536466,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"265 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536467,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"266 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536468,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"267 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536469,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"268 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536470,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"269 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536471,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
"270 Wilshire Blvd, Nichols Hills, OK 73116",Homeowner,+140555536472,6250.0%,ISOLATED,Hail,2026-03-10,QUEUED_FOR_BLAND_AI
