# 24h hail-strike call list. Generated 2026-05-06T07:25:06.172846+00:00 (UTC). --hours=24 --min-prob=0.4 --top=50 --with-phone --state=TX,OK,KS,NE,AL,IL,MO,AR,LA,CO. 15/16 forecast cells crossed the floor.
rank,peak_hail_probability,peak_risk_score,peak_time_utc,hours_until_peak,hail_core_radius_ft,hail_core_confidence,peak_cape_j_kg,peak_lightning_potential,street_address,city,state,zip_code,homeowner_name,phone_number,has_phone,address_grade,address_grade_reasons,email,damage_score,contact_id,event_id,storm_event_date,forecast_cell_lat,forecast_cell_lon,storm_lat,storm_lon,distance_to_cell_km
12,0.494,0.335,2026-05-06T23:00:00+00:00,15.58,463.5,0.553,1430.0,,"3546 Mayfair Road, Montgomery, Alabama 36109",Montgomery,AL,36109,Renee Dawson,768-264-3534x53118,yes,real,,nelsonheather@example.com,,19,221,2026-01-25,32.5,-86.25,32.3921,-86.2532,12.0
13,0.471,0.301,2026-05-07T00:00:00+00:00,16.58,478.6,0.507,1821.4,,"79126 Northeast 45th Street, Lawton, Oklahoma 73507",Lawton,OK,73501,Shawn Levine,986.239.6617x1551,yes,real,,glenda35@example.com,3.6,28,224,2026-01-08,34.5,-98.25,34.6096,-98.3372,14.57
14,0.468,0.298,2026-05-06T20:00:00+00:00,12.58,480.6,0.502,1878.8,,"20304 OK 152, Union City, Oklahoma 73090",Union City,OK,73090,Sally Turner,001-832-868-2794,yes,real,,foxrenee@example.com,3.55,24,204,2026-01-08,35.5,-98.0,35.3917,-97.9229,13.92
15,0.462,0.293,2026-05-06T20:00:00+00:00,12.58,484.0,0.498,1879.5,,"15922 County Road 1290, , Oklahoma",Verden,OK,73092,Sara Caldwell,553.604.3538x7093,yes,real,,rcunningham@example.com,5.86,25,209,2026-01-08,35.25,-98.0,35.1468,-98.078,13.49
16,0.45,0.289,2026-05-06T19:00:00+00:00,11.58,491.8,0.488,1695.7,,"100 West Dells Avenue, Stillwater, Oklahoma 74075",Stillwater,OK,74075,Tiffany Camacho,(238)973-3215,yes,real,,wrightmackenzie@example.com,3.63,32,257,2026-01-08,36.25,-97.0,36.1414,-97.0605,13.24
17,0.45,0.289,2026-05-06T19:00:00+00:00,11.58,491.8,0.488,1695.7,,"100 West Dells Avenue, Stillwater, Oklahoma 74075",Stillwater,OK,74075,Nathan West,+1-936-246-0880,yes,real,,bunderwood@example.com,3.63,40,257,2026-01-08,36.25,-97.0,36.1414,-97.0605,13.24
18,0.45,0.289,2026-05-06T19:00:00+00:00,11.58,491.8,0.488,1695.7,,"100 West Dells Avenue, Stillwater, Oklahoma 74075",Stillwater,OK,74075,Taylor Mcdonald,+1-991-991-5405x545,yes,real,,xfisher@example.com,3.63,42,2457,2026-01-08,36.25,-97.0,36.1414,-97.0605,13.24
19,0.45,0.289,2026-05-06T19:00:00+00:00,11.58,491.8,0.488,1695.7,,"100 West Dells Avenue, Stillwater, Oklahoma 74075",Stillwater,OK,74075,Craig Davis,922-540-5788,yes,real,,pollardmichael@example.com,3.63,45,257,2026-01-08,36.25,-97.0,36.1414,-97.0605,13.24
20,0.45,0.289,2026-05-06T19:00:00+00:00,11.58,491.8,0.488,1695.7,,"100 West Dells Avenue, Stillwater, Oklahoma 74075",Stillwater,OK,74075,Christina Jackson,+1-451-908-5681,yes,real,,petersontheresa@example.com,3.63,47,2457,2026-01-08,36.25,-97.0,36.1414,-97.0605,13.24
21,0.445,0.308,2026-05-07T06:00:00+00:00,22.58,495.4,0.484,1270.3,,"498 Southeast 5th Street, Luther, Oklahoma 73054",Luther,OK,73054,Henry Fischer,+1-289-527-2498,yes,real,,barbara86@example.com,5.59,37,395,2026-01-08,35.75,-97.25,35.6581,-97.1912,11.52
22,0.431,0.258,2026-05-06T22:00:00+00:00,14.58,504.9,0.47,2138.0,,"5515 West Wilshire Boulevard, Yukon, Oklahoma 73099",Yukon,OK,73099,Cassandra Martinez,957-785-8614,yes,real,,amycasey@example.com,3.52,33,266,2026-01-08,35.5,-97.75,35.5567,-97.7553,6.32
23,0.431,0.258,2026-05-06T22:00:00+00:00,14.58,504.9,0.47,2138.0,,"6221 West Wilshire Boulevard, Yukon, Oklahoma 73099",Yukon,OK,73099,Tyler Moore,465.952.3936x1050,yes,real,,alexandrawilson@example.com,3.52,41,266,2026-01-08,35.5,-97.75,35.5567,-97.7553,6.32
24,0.431,0.258,2026-05-06T22:00:00+00:00,14.58,504.9,0.47,2138.0,,"3817 West Wilshire Boulevard, Yukon, Oklahoma 73099",Yukon,OK,73099,Amy Morgan,001-690-826-1251x067,yes,real,,floresbrandon@example.com,3.52,46,266,2026-01-08,35.5,-97.75,35.5567,-97.7553,6.32
25,0.426,0.293,2026-05-07T06:00:00+00:00,22.58,507.6,0.473,1153.1,,"4613 West Farm Road, Stillwater, Oklahoma 74078",Stillwater,OK,74075,Manuel Nelson,688.575.0984,yes,real,,johnsonglenn@example.com,5.57,29,225,2026-01-08,36.0,-97.0,36.1246,-97.0718,15.28
26,0.426,0.293,2026-05-07T06:00:00+00:00,22.58,507.6,0.473,1153.1,,"30793 West Farm Road, Stillwater, Oklahoma 74078",Stillwater,OK,74075,Holly Ortiz,957-782-1756x1916,yes,real,,brendawalsh@example.com,5.57,38,225,2026-01-08,36.0,-97.0,36.1246,-97.0718,15.28
27,0.426,0.293,2026-05-07T06:00:00+00:00,22.58,507.6,0.473,1153.1,,"51691 West Farm Road, Stillwater, Oklahoma 74078",Stillwater,OK,74075,Sarah Lee,+1-664-725-5032x4347,yes,real,,taylorrachel@example.com,5.57,39,2425,2026-01-08,36.0,-97.0,36.1246,-97.0718,15.28
28,0.426,0.293,2026-05-07T06:00:00+00:00,22.58,507.6,0.473,1153.1,,"1199 West Farm Road, Stillwater, Oklahoma 74078",Stillwater,OK,74075,Brian Franco,8469512089,yes,real,,montgomeryscott@example.com,5.57,43,225,2026-01-08,36.0,-97.0,36.1246,-97.0718,15.28
29,0.426,0.293,2026-05-07T06:00:00+00:00,22.58,507.6,0.473,1153.1,,"009 West Farm Road, Stillwater, Oklahoma 74078",Stillwater,OK,74075,Derrick Harris,001-558-437-0197,yes,real,,toddhall@example.com,5.57,44,2425,2026-01-08,36.0,-97.0,36.1246,-97.0718,15.28
30,0.421,0.289,2026-05-07T06:00:00+00:00,22.58,511.4,0.466,1142.7,,"2300 Greenway Trail, Oklahoma City, Oklahoma 73117",Oklahoma City,OK,73117,Sarah Jackson,(619)304-0516,yes,real,,mmartinez@example.com,6.0,34,269,2026-01-08,35.5,-97.5,35.4722,-97.4641,4.49
31,0.409,0.246,2026-05-06T22:00:00+00:00,14.58,518.8,0.459,1895.7,,"18001 Coker Road, Bethel Acres, Oklahoma 74801",Tecumseh,OK,74873,Mark Myers,+1-684-776-0967x6599,yes,real,,danielhubbard@example.com,5.33,31,253,2026-01-08,35.25,-97.0,35.3042,-96.9832,6.22
32,0.409,0.246,2026-05-06T22:00:00+00:00,14.58,518.8,0.459,1895.7,,"3052 North Leo Street, Shawnee, Oklahoma 74804",Shawnee,OK,74804,Benjamin Collins,713.973.8180x54055,yes,real,,meyerbrittany@example.com,3.48,35,285,2026-01-08,35.25,-97.0,35.3649,-96.9482,13.61
33,0.409,0.246,2026-05-06T22:00:00+00:00,14.58,518.8,0.459,1895.7,,"1798 West Wheeler Street, Shawnee, Oklahoma 74801",Shawnee,OK,74801,Andrea Weber,(220)899-7909,yes,real,,josebyrd@example.com,3.42,27,223,2026-01-08,35.25,-97.0,35.3381,-96.9435,11.06
