# 24h hail-strike call list. Generated 2026-05-06T07:33:08.855037+00:00 (UTC). --hours=24 --min-prob=0.5 --top=25 --state=TX,OK,KS,NE,AL,IL,MO,AR,LA,CO. 26/69 forecast cells crossed the floor.
rank,peak_hail_probability,peak_risk_score,peak_time_utc,hours_until_peak,hail_core_radius_ft,hail_core_confidence,peak_cape_j_kg,peak_lightning_potential,verified_full_address,verified_lat,verified_lon,address_resolution_status,is_residential_likely,gmaps_url,street_address,city,state,zip_code,homeowner_name,phone_number,has_phone,address_grade,address_grade_reasons,email,damage_score,contact_id,event_id,storm_event_date,forecast_cell_lat,forecast_cell_lon,storm_lat,storm_lon,distance_to_cell_km
11,0.639,0.4,2026-05-06T21:00:00+00:00,13.46,368.2,0.597,3735.2,,"11803 W BIRCH RD, WILBER, NE, 68465",40.450905,-96.879965,resolved,yes,"https://www.google.com/maps/place/40.450904748235,-96.879965320506","11803, West Birch Road, Gage County, Nebraska, 68465, United States",Rubenville,NE,68465,Homeowner,,no,no_phone,,,,41748,5261,2026-04-27,40.5,-97.0,40.45,-96.88,11.57
12,0.614,0.409,2026-05-06T20:00:00+00:00,12.46,384.4,0.594,2608.3,,"200 SW 10TH AVE, TOPEKA, KS, 66612",39.046377,-95.677265,resolved,yes,"https://www.google.com/maps/place/39.046376843187,-95.677265210886",200 SW 10th Ave,Topeka,KS,66614,Homeowner,,no,no_phone,,,90.0,312,4496,2026-04-14,39.0,-95.75,39.05,-95.68,8.21
13,0.614,0.409,2026-05-06T20:00:00+00:00,12.46,384.4,0.594,2608.3,,"250 SW JACKSON ST, TOPEKA, KS, 66603",39.05693,-95.672583,resolved,yes,"https://www.google.com/maps/place/39.056929584701,-95.672582622805",250 SW Jackson St,Topeka,KS,66614,Homeowner,,no,no_phone,,,90.0,314,4496,2026-04-14,39.0,-95.75,39.05,-95.68,8.21
14,0.614,0.409,2026-05-06T20:00:00+00:00,12.46,384.4,0.594,2608.3,,"200 SW 10TH AVE, TOPEKA, KS, 66612",39.046377,-95.677265,resolved,yes,"https://www.google.com/maps/place/39.046376843187,-95.677265210886",200 SW 10th Ave,Topeka,KS,66614,Homeowner,,no,no_phone,,,90.0,41856,5277,2026-04-14,39.0,-95.75,39.05,-95.68,8.21
15,0.614,0.409,2026-05-06T20:00:00+00:00,12.46,384.4,0.594,2608.3,,"250 SW JACKSON ST, TOPEKA, KS, 66603",39.05693,-95.672583,resolved,yes,"https://www.google.com/maps/place/39.056929584701,-95.672582622805",250 SW Jackson St,Topeka,KS,66614,Homeowner,,no,no_phone,,,90.0,41858,5277,2026-04-14,39.0,-95.75,39.05,-95.68,8.21
16,0.614,0.409,2026-05-06T20:00:00+00:00,12.46,384.4,0.594,2608.3,,"200 SW 10TH AVE, TOPEKA, KS, 66612",39.046377,-95.677265,resolved,yes,"https://www.google.com/maps/place/39.046376843187,-95.677265210886",200 SW 10th Ave,Topeka,KS,66614,Homeowner,,no,no_phone,,,43.99,302,4491,2026-04-12,39.0,-95.75,39.05,-95.68,8.21
17,0.614,0.409,2026-05-06T20:00:00+00:00,12.46,384.4,0.594,2608.3,,"100 SW 10TH AVE, TOPEKA, KS, 66612",39.045998,-95.6758,resolved,yes,"https://www.google.com/maps/place/39.045998127139,-95.675800044682","100 SW 10th Ave, Topeka, KS 66614",Topeka,KS,66614,Homeowner,,no,no_phone,,,,40319,4491,2026-04-12,39.0,-95.75,39.05,-95.68,8.21
18,0.614,0.409,2026-05-06T20:00:00+00:00,12.46,384.4,0.594,2608.3,,"101 SW 10TH AVE, TOPEKA, KS, 66612",39.045889,-95.675845,resolved,yes,"https://www.google.com/maps/place/39.045888992439,-95.675845033874","101 SW 10th Ave, Topeka, KS 66614",Topeka,KS,66614,Homeowner,,no,no_phone,,,,40320,4491,2026-04-12,39.0,-95.75,39.05,-95.68,8.21
19,0.54,0.375,2026-05-07T00:00:00+00:00,16.46,432.9,0.562,1796.6,,"2017 JOHNSON RD, IOWA PARK, TX, 76367",33.980024,-98.690563,resolved,yes,"https://www.google.com/maps/place/33.980023884389,-98.690562783103","2017, Johnson Road, Iowa Park, Wichita County, Texas, 76367, United States",2 NNW Iowa Park,TX,76367,Homeowner,,no,no_phone,,,1.28,41749,5176,2026-04-27,34.0,-98.75,33.98,-98.69,5.96
20,0.539,0.369,2026-05-06T20:00:00+00:00,12.46,433.4,0.545,2107.9,,"11210 E STATE HWY 2, FREEMAN, MO, 64746",38.619065,-94.469721,resolved,yes,"https://www.google.com/maps/place/38.619064763227,-94.469720604902","11210, MO 2, Prettyman, Cass County, Missouri, 64746, United States",2 E Freeman,MO,64746,Homeowner,,no,no_phone,,,,41737,5243,2026-04-27,38.5,-94.5,38.62,-94.47,13.6
21,0.533,0.366,2026-05-06T20:00:00+00:00,12.46,437.6,0.543,2044.1,,"301 N 5TH ST, WALKER, MO, 64790",37.900697,-94.230257,resolved,yes,"https://www.google.com/maps/place/37.90069694501,-94.23025696165","301, North 5th Street, Walker, Vernon County, Missouri, 64790, United States",Walker,MO,64790,Homeowner,,no,no_phone,,,,41772,5178,2026-04-27,38.0,-94.25,37.9,-94.23,11.26
22,0.516,0.352,2026-05-06T20:00:00+00:00,12.46,448.9,0.532,1848.7,,"289 JEFFERSON ST, GREENFIELD, MO, 65661",37.420146,-93.84009,resolved,yes,"https://www.google.com/maps/place/37.420146047901,-93.840089958754","289, Jefferson Street, Greenfield, Dade County, Missouri, 65661, United States",Greenfield,MO,65661,Homeowner,,no,no_phone,,,,41789,5185,2026-04-27,37.5,-93.75,37.42,-93.84,11.93
